"Class Group","Student's Gender","Average Course Evaluation Rating","Likes (tokenized)"
"A","Male",4.8182,"taught"
"A","Male",4.8182,"assessment"
"A","Male",4.8182,"helping"
"A","Male",4.8182,"learn"
"A","Male",4.4545,"unit"
"A","Male",4.4545,"nice"
"A","Male",4.4545,"learn"
"A","Male",4.4545,"labs"
"A","Female",4.0909,"manuals"
"A","Female",4.0909,"lecturer"
"A","Female",4.0909,"guides"
"A","Female",4.2727,"detailed"
"A","Female",4.5455,"teaching"
"A","Female",4.5455,"detailed"
"A","Male",5,"real"
"A","Male",5,"world"
"A","Male",5,"applicationsthe"
"A","Male",5,"manner"
"A","Male",5,"structured"
"A","Female",4.9091,"actual"
"A","Female",4.9091,"examples"
"A","Female",4.9091,"understanding"
"A","Female",4.9091,"hands"
"A","Female",4.9091,"labs"
"A","Female",4.9091,"theory"
"A","Female",4.9091,"easier"
"A","Female",4.9091,"understand"
"A","Male",4.2727,"easy"
"A","Male",4.2727,"understand"
"A","Male",4.2727,"prsented"
"A","Male",4.2727,"fluent"
"A","Male",4.2727,"manner"
"A","Male",4.7273,"engaging"
"A","Female",5,"understadable"
"A","Female",4.2727,"churn"
"A","Female",4.2727,"customer"
"A","Female",4.2727,"prediction"
"A","Female",4.2727,"lecturer"
"A","Female",4.2727,"confirms"
"A","Female",4.2727,"understood"
"A","Female",4.2727,"topic"
"A","Male",4.7273,"assist"
"A","Female",4.5455,"lecturer"
"A","Female",4.5455,"explains"
"A","Female",4.5455,"concepts"
"A","Female",4.5455,"unit"
"A","Male",4,"data"
"A","Male",4,"entry"
"A","Male",4,"intergation"
"A","Male",5,"broad"
"A","Male",5,"focuses"
"A","Male",5,"business"
"A","Male",5,"aspect"
"A","Male",5,"technological"
"A","Male",5,"wise"
"A","Male",5,"detailed"
"A","Male",5,"information"
"A","Male",5,"project"
"A","Male",5,"knowledge"
"A","Male",5,"businesses"
"A","Male",5,"method"
"A","Male",5,"delivery"
"A","Male",5,"lecturer"
"A","Male",5,"understanding"
"A","Male",5,"ensures"
"A","Male",5,"concept"
"A","Male",3.9091,"labs"
"A","Male",3.9091,"lectures"
"A","Male",4.4545,"teacher"
"A","Male",4.4545,"method"
"A","Male",4.4545,"teaching"
"A","Female",5,"topics"
"A","Female",5,"explained"
"A","Female",5,"lecturer"
"A","Male",4.1818,"understanding"
"A","Male",4.1818,"lecturer"
"A","Male",4.1818,"lectures"
"A","Male",4.1818,"conveyed"
"A","Female",4.8182,"knowledge"
"A","Female",4.8182,"delivered"
"A","Female",4.7273,"quizz"
"A","Female",4.7273,"topic"
"A","Female",4.7273,"learn"
"A","Female",4.7273,"hundle"
"A","Male",4.9091,"quizzes"
"A","Male",4.9091,"topic"
"A","Male",4.9091,"makes"
"A","Male",4.9091,"revise"
"A","Male",4.9091,"advance"
"B","Male",4.9091,"detailed"
"B","Male",4.9091,"understandable"
"B","Male",4.7273,"systematic"
"B","Male",4.7273,"explained"
"B","Male",4.1818,"lecturer"
"B","Male",4.1818,"workthe"
"B","Male",4.1818,"notes"
"B","Male",4.1818,"provided"
"B","Male",4.1818,"comprehensive"
"B","Male",4.8182,"unit"
"B","Male",4.8182,"informative"
"B","Male",4.8182,"engaging"
"B","Male",4.8182,"2the"
"B","Male",4.8182,"description"
"B","Male",4.8182,"career"
"B","Male",4.8182,"path"
"B","Female",4.6364,"notes"
"B","Female",4.6364,"lecture"
"B","Female",4.6364,"explains"
"B","Male",4.3636,"constant"
"B","Male",4.3636,"testing"
"B","Male",4.3636,"labs"
"B","Male",4.3636,"understand"
"B","Male",4.7273,"applied"
"B","Male",4.7273,"market"
