"Class Group","Student's Gender","Average Course Evaluation Rating","Wishes (tokenized)"
"A","Male",4.4545,"enjoying"
"A","Female",4.0909,"recommend"
"A","Female",4.0909,"lecturer"
"A","Female",4.5455,"learning"
"A","Female",4.5455,"materials"
"A","Female",4.5455,"revision"
"A","Female",4.5455,"papers"
"A","Male",5,"emphasis"
"A","Male",5,"labs"
"A","Male",5,"develop"
"A","Male",5,"understanding"
"A","Male",5,"models"
"A","Male",5,"concepts"
"A","Male",5,"practice"
"A","Female",4.9091,"stuck"
"A","Female",4.9091,"labs"
"A","Female",4.9091,"assistance"
"A","Female",4.9091,"understand"
"A","Female",4.9091,"nice"
"A","Male",4.7273,"student"
"A","Male",4.7273,"involvement"
"A","Female",5,"reduce"
"A","Female",5,"slides"
"A","Male",4.7273,"manuals"
"A","Male",4.7273,"week"
"A","Male",4.7273,"complete"
"A","Female",4.5455,"quizzes"
"A","Male",5,"practical"
"A","Male",5,"assignments"
"A","Male",5,"quizzes"
"A","Male",5,"moment"
"A","Male",3.9091,"reduce"
"A","Male",3.9091,"amount"
"A","Male",3.9091,"coursework"
"A","Female",5,"perfectooo"
"A","Male",4.1818,"satisfied"
"A","Female",4.7273,"comment"
"B","Male",4.7273,"flexibility"
"B","Male",4.7273,"operations"
"B","Male",4.7273,"cats"
"B","Male",4.1818,"lecturer"
"B","Male",4.1818,"lively"
"B","Male",4.1818,"interactive"
"B","Male",4.1818,"class"
"B","Male",4.1818,"examples"
"B","Male",4.1818,"understand"
"B","Male",4.1818,"concepts"
"B","Male",4.1818,"complex"
"B","Female",4.6364,"short"
"B","Female",4.6364,"precise"
"B","Female",4.6364,"notes"
"B","Male",4.2727,"improve"
"B","Male",4.2727,"class"
"B","Male",4.2727,"engagement"
"B","Male",4.3636,"pass"
"B","Male",4.3636,"flying"
"B","Male",4.3636,"colours"
"B","Male",4.7273,"easier"
"B","Male",4.7273,"read"
"B","Male",4.7273,"slides"
"B","Male",4.7273,"cover"
"B","Male",4.8182,"explanation"
"B","Male",4.8182,"class"
"B","Male",4.8182,"disscussions"
"B","Female",4.8182,"explanation"
"B","Female",4.8182,"simpler"
"B","Female",4.8182,"terms"
"B","Female",4.8182,"activities"
"B","Female",4.8182,"step"
"B","Female",4.4545,"netflix"
"B","Female",4.4545,"watch"
"B","Female",4.4545,"short"
"B","Female",4.4545,"youtube"
"B","Female",4.4545,"videos"
"B","Female",4.4545,"explain"
"B","Female",4.4545,"content"
"B","Male",4.6364,"recommendation"
"B","Male",3.9091,"strict"
"B","Female",4.5455,"vocal"
"B","Female",4.5455,"variation"
"B","Female",4.5455,"lecturer"
"B","Female",4.5455,"physical"
"B","Female",4.5455,"classes"
"B","Female",4.5455,"difficult"
"B","Female",4.5455,"follow"
"B","Female",4.5455,"voice"
"B","Male",4.3636,"include"
"B","Male",4.3636,"quizes"
"B","Female",4.3636,"recomendations"
"B","Male",5,"interactive"
"B","Male",5,"mode"
"B","Male",5,"online"
"B","Male",5,"classes"
"B","Female",5,"lengthy"
"B","Female",5,"topics"
"B","Female",5,"students"
"B","Female",5,"remember"
"B","Female",5,"concepts"
"B","Female",4.4545,"assignments"
